Inspection ID,DBA Name,Facility Type,Risk,Address,Zip,Violations
1583994,Z & Z WINGS,Restaurant,Risk 2 (Medium),1049 W 103RD ST ,60643,
1150713,Z & Z WINGS,Restaurant,Risk 2 (Medium),1049 W 103RD ST ,60643,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: FOOD WARMER FRONT MISSING DOOR NEED TO REPLACE AND REMOVE CARDBOARD BEING USED AS DOOR. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN EXTERIOR OF FLAT GRILL, GYRO MACHINE, CHAR GRILL, CLEAN HOOD AND FILTER, HOT HOLDING UNIT.CLEAN INTERIOR OF MICROWAVE, AND FANGUARD IN 1 DOOR COOLER, AND 2 DOOR FREEZER.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOOR UNDER FRYERS. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: CLEAN LIGHT SHIELDS FRONT (FOOD SPLASHES), 1 LIGHT OUT UNDER HOOD NEED TO REPLACE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED HOSE HOOKED UP TO UTILITY SINK INSTRUCTED TO REMOVE NEED TO PROVIDE BACK FLOW DEVICE.NEED TO REPAIR THE NECK OF THE FACUET AT THE 3 COMP. SINK LEAKING WHEN WATER IS TURNED ON. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED CLUTTER IN REAR, ALSO A PROPANE TANK W/HEATER DEVICE ATTACHED  INSTRUCTED TO REMOVE."
2589018,ZYMI BAKERY INC,Bakery,Risk 1 (High),5806-5808 N MILWAUKEE AVE ,60646,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11: **C** Food Storage-Preventing Contamination from the Premises FOOD CONTAINERS STORED ON FLOOR IN PREP, STORAGE AND WALK-IN COOLER. MUST PROVIDE PROPER, RAISED SHELVING TO STORE FOOD CONTAINERS 6' OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11: NOTED ICE BUILD UP INSIDE THE WALK IN FREEZER ON THE FLOOR AND SHELVES (NONE ON FOOD). INSTRUCTED TO REPAIR AND MAINTAIN THE CONDENSATION UNITS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15: NOTED LEAKAGE AT THE BOTTOM PIPE UNDERNEATH THE 3 COMPARTMENT SINK. INSTRUCTED TO REPAIR AND MAINTAIN. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: NOTED WASTE WATER BACKING UP ON THE FLOOR DRAIN AT THE FRONT PREP AREA WHEN WATER IS OPENED FROM THE HAND WASH AND PREP SINKS. MANAGER IMMEDIATELY CALLED PLUMBING COMPANY FOR MAINTENANCE. PRIOIRITY VIOLATION#7-38-030(C). CITATION ISSUED."
2588598,ZYMI BAKERY INC,Bakery,Risk 1 (High),5806-5808 N MILWAUKEE AVE ,60646,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NOTED OVER 50 MICE DROPPINGS ALONG WALL AND UNDERNEATH EQUIPMENT AT THE REAR PREP AREA. INSTRUCTED TO DETAIL CLEAN AND SANITIZE AFFECTED AREAS, ELIMINATE PEST ACTIVITY. INSTRUCTED TO CONSULT WITH PEST CONTROL COMPANY AND HAVE PREMISES TREATED. PRIORITY FOUNDATION #7-38-020(A) | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: FOOD CONTAINERS STORED ON FLOOR IN PREP, STORAGE AND WALK-IN COOLER. MUST PROVIDE PROPER, RAISED SHELVING TO STORE FOOD CONTAINERS 6' OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ASSORTED FOOD ITEMS INSIDE COOLERS AND REFRIGERATION UNITS FOOD STORED INSIDE GROCERY BAGS. INSTRUCTED TO PROPERLY STORE ALL FOOD ITEMS INSIDE APPROVED FOOD GRADE CONTAINERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ICE BUILD UP INSIDE THE WALK IN FREEZER ON THE FLOOR AND SHELVES (NONE ON FOOD). INSTRUCTED TO REPAIR AND MAINTAIN THE CONDENSATION UNITS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NOTED LEAKAGE AT THE BOTTOM PIPE UNDERNEATH THE 3 COMPARTMENT SINK. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN FLOORS ALONG WALL BASE ESPECIALLY AT THE AREAS WITH MICE DROPPINGS."
2573096,ZYMI BAKERY INC,Bakery,Risk 1 (High),5806-5808 N MILWAUKEE AVE ,60646,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES AT ESPRESSO MACHINE.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOUND FOOD HANDLERS WITH NO FOOD HANDLING CERTIFICATES. MUST PROVIDE.
2546230,ZYMI BAKERY INC,Bakery,Risk 1 (High),5806-5808 N MILWAUKEE AVE ,60646,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: WOOD AND WOOD WICKER BASKETS ON SHELF FOR RAISING DOUGH. BASKETS ARE STAINED AND SOME HAVE SPLINTERS AND ARE NOT SMOOTH. MAY NOT USE WOOD OR WOOD WICKER FOR FOOD CONTACT. MUST REMOVE BASKETS. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OVER-SIZED EQUIPMENT ON SITE, MIXING BOWLS. MUST PROVIDE WRITTEN PROCEDURES ON HOW EQUIPMENT WILL BE WASHED, RINSED AND SANITIZED. "
2545975,ZYMI BAKERY INC,Bakery,Risk 1 (High),5806-5808 N MILWAUKEE AVE ,60646,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HOT RUNNING WATER AT EMPLOYEE WASHROOM. MUST RESTORE HOT WATER TO A MINIMUM OF 110F. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: WALK-IN COOLER TEMPERATURE RANGES FROM 43.7 TO 46.0F.  UNIT MUST BE ABLE TO MAINTAIN TCS FOODS AT 41.0F OR LESS. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: FOUND PADDLES STORED ON FLOOR NEXT TO OVENS.  MUST STORE ITEMS ELEVATED OFF FLOOR. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: NO CHLORINE TEST KIT.  MUST PROVIDE TEST KIT FOR SANITIZER USED. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OVER-SIZED EQUIPMENT ON SITE, MIXING BOWLS.  MUST PROVIDE WRITTEN PROCEDURES ON HOW EQUIPMENT WILL BE WASHED, RINSED AND SANITIZED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ACCUMULATED DEBRIS IN MOTOR HOUSING OF ROTATING BREAD OVEN.  MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNUSED DISPLAY COOLER IN REAR OF PREMISES.  MUST REMOVE FROM PROPERTY."
585594,Zyggyz Grill,Restaurant,Risk 1 (High),6604 N Sheridan RD BLDG ,60626,
2565640,Z & V FOODS,Grocery Store,Risk 2 (Medium),2625 W 79TH ST ,60652,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 RAW WOOD STORAGE SHELVES IN REAR PREP AREA. INSTD TO SEAL/PAINT SAME SO AS SURFACE TO NON POROUS AND EASILY CLEANABLE | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: 5-402.12: NO GREASE TRAP/INTERCEPTOR AT 3-COMPARTMENT SINK. INSTD TO PROVIDE AND MAINTAIN | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19: MISSING SELF CLOSING DEVICE ON TOILET ROOM DOOR. INSTD TO CORRECT AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11: RAW WOOD WALL AND BEAMS NOTED IN FRONT PREP AREA. INSTD TO SEAL/PAINT ALL RAW WOOD SO AS SURFACES TO BE SMOOTH, EVEN, AND EASILY CLEANABLE"
2565344,Z & V FOODS,Grocery Store,Risk 2 (Medium),2625 W 79TH ST ,60652,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: MISSING EMPLOYEE HEALTH POLICY. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEGED HEALTH POLICY AND MAINTAIN ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MISSSING CLEAN UP PROCEDURE AND SUPPLIES FOR VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE SAME AND MAINTAIN ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING THERMOMETERS IN COOLERS. INSTD TO PROVIDE AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RAW WOOD STORAGE SHELVES IN REAR PREP AREA. INSTD TO SEAL/PAINT SAME SO AS SURFACE TO NON POROUS AND EASILY CLEANABLE | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: MISSING CHLORINE TEST STRIPS. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005 | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: NO HOT RUNNING WATER UNDER CITY PRESSURE. INSTD TO PROVIDE AT ALL TIMES. 100F-120F AT HANDWASH SINKS, MINIMIM 110F AT 3-COMPARTMENT SINK. PRIORITY VIOLATION 7-38-030(C) | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: NO GREASE TRAP/INTERCEPTOR AT 3-COMPARTMENT SINK. INSTD TO PROVIDE AND MAINTAIN | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MISSING SELF CLOSING DEVICE ON TOILET ROOM DOOR. INSTD TO CORRECT AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: RAW WOOD WALL AND BEAMS NOTED IN FRONT PREP AREA. INSTD TO SEAL/PAINT ALL RAW WOOD SO AS SURFACES TO BE SMOOTH, EVEN, AND EASILY CLEANABLE"
